,trackID,ar_cat,start_date,end_date,duration,landslideID,landslide_lat,landslide_lon,ivt,ivtdir,freeze,prec
146,37230.0,3.0,1990-12-29 00:00:00,1990-12-30 12:00:00,36.0,,,,84.4577535662984,264.1545172762832 degree,349.31583,
147,37326.0,1.0,1991-01-06 06:00:00,1991-01-06 12:00:00,6.0,,,,75.2601232804652,158.00893640219022 degree,-485.62433,2.849853515625
148,37381.0,1.0,1991-01-15 00:00:00,1991-01-15 12:00:00,12.0,,,,31.69094519866632,266.47355074767154 degree,-501.5886,
149,37457.0,1.0,1991-01-26 00:00:00,1991-01-28 12:00:00,60.0,,,,367.84158497324927,246.74433429734074 degree,255.98753,174.3875732421875
150,37457.0,2.0,1991-01-24 06:00:00,1991-01-26 00:00:00,42.0,,,,220.1167364931134,239.2263459599942 degree,-168.52783,53.25897216796875
151,37594.0,1.0,1991-02-08 00:00:00,1991-02-11 12:00:00,84.0,,,,275.23835756799195,189.5474811839199 degree,-134.46315,130.30419921875
152,37594.0,2.0,1991-02-07 18:00:00,1991-02-08 00:00:00,6.0,,,,102.00146652875605,212.3977882036523 degree,-350.50363,3.7408447265625
153,40272.0,1.0,1991-12-17 00:00:00,1991-12-17 06:00:00,6.0,,,,148.93848969246977,232.78746782698525 degree,743.2302,7.1795654296875
154,40272.0,2.0,1991-12-11 12:00:00,1991-12-17 00:00:00,132.0,,,,434.1096640126564,236.39618819340305 degree,196.4614,211.8785400390625
155,40437.0,1.0,1992-01-04 00:00:00,1992-01-05 18:00:00,42.0,,,,231.418828144993,259.6360621644728 degree,384.78827,44.99169921875
156,40437.0,2.0,1992-01-01 06:00:00,1992-01-04 00:00:00,66.0,,,,246.4431857613239,251.67244984020778 degree,-131.43199,50.97509765625
157,40480.0,1.0,1992-01-06 00:00:00,1992-01-07 00:00:00,24.0,,,,163.31739788877377,176.09087535302 degree,210.09991,32.986328125
158,40480.0,3.0,1992-01-07 00:00:00,1992-01-07 12:00:00,12.0,,,,50.793357534530266,357.0345510223297 degree,-114.0938,
159,40590.0,1.0,1992-01-22 00:00:00,1992-01-30 00:00:00,192.0,,,,511.34004156740957,181.8431679645318 degree,-267.4684,363.083251953125
160,40590.0,2.0,1992-01-30 00:00:00,1992-01-30 12:00:00,12.0,,,,78.59293921919135,192.3714417865733 degree,-1161.4381,5.02099609375
161,40704.0,1.0,1992-02-05 00:00:00,1992-02-06 00:00:00,24.0,,,,308.4643917510902,227.01939735165843 degree,-434.54358,44.1416015625
162,40704.0,3.0,1992-02-06 00:00:00,1992-02-06 12:00:00,12.0,,,,84.45758151224408,297.3505845844637 degree,-877.4731,9.990234375
163,40755.0,1.0,1992-02-11 06:00:00,1992-02-12 18:00:00,36.0,,,,320.444023442247,223.7794445183132 degree,-326.53085,28.39111328125
