,date,trackID,ar_cat,start_date,end_date,duration,landslideID,landslide_lat,landslide_lon,prec,ivt,ivtdir,western_low,western_high,northwestern_low,northwestern_high,eastern_low,eastern_high,western_freeze,northwestern_freeze,eastern_freeze
631,2005-12-22,84291.0,3.0,2005-12-22 06:00:00,2005-12-24 00:00:00,42.0,,,,14.39141845703125,508.4952869349942,232.52910309793475 degree,-232.7126612118601,,-331.16682812644933,,-267.92035150756425,217.30583656697536,-1,-1,-1
632,2005-12-24,84295.0,2.0,2005-12-24 18:00:00,2005-12-27 00:00:00,54.0,,,,37.548583984375,231.08231199018303,239.45703542284465 degree,,374.8438505418576,,635.2335535256615,-207.61981834596585,,1,1,-1
633,2006-02-09,84675.0,2.0,2006-02-09 12:00:00,2006-02-11 06:00:00,42.0,,,,50.505615234375,453.53972322999687,249.10687705625938 degree,,767.5129917068396,,903.2071894295842,-156.02649811266488,159.99359740579624,1,1,1
634,2006-02-11,84706.0,2.0,2006-02-11 06:00:00,2006-02-12 18:00:00,36.0,,,,9.68682861328125,104.67652720731552,232.98479317630384 degree,-235.91787121996913,907.9089693377247,-286.6645892669133,,-195.5670559205376,258.14194998380106,1,-1,-1
635,2006-02-13,84721.0,2.0,2006-02-13 06:00:00,2006-02-13 12:00:00,6.0,,,,12.693603515625,137.9433700986645,223.38431581195985 degree,-117.31312617427058,641.1923612540828,-137.70743211741413,657.5124080910939,-130.58031528563507,202.4830209017093,1,1,1
636,2006-02-15,84731.0,2.0,2006-02-15 12:00:00,2006-02-15 18:00:00,6.0,,,,3.183837890625,50.67798763345475,263.7308325500241 degree,-262.93102726141865,503.3135530014124,-276.5811213526638,577.8871271380995,-159.28289922016214,,-1,-1,-1
637,2006-02-16,84746.0,2.0,2006-02-16 00:00:00,2006-02-16 06:00:00,6.0,,,,5.32275390625,107.0612428018302,224.19167126322776 degree,-193.92463904823057,535.8611786227623,-266.03656657379736,645.2451042192131,-261.16614819276987,,1,1,-1
638,2006-02-16,84752.0,2.0,2006-02-16 06:00:00,2006-02-16 18:00:00,12.0,,,,18.326416015625,220.04123066755287,244.8831150594027 degree,-193.92463904823057,535.8611786227623,-266.03656657379736,645.2451042192131,-261.16614819276987,,1,1,-1
639,2006-02-17,84760.0,2.0,2006-02-17 00:00:00,2006-02-17 06:00:00,6.0,,,,12.68548583984375,208.17167465385864,251.97537105823503 degree,-103.68222248488688,654.4452511940602,-67.17995756281385,564.8092276957033,-202.5624479102799,,1,1,-1
640,2006-12-11,87523.0,2.0,2006-12-11 06:00:00,2006-12-11 12:00:00,6.0,,,,,19.746735769781697,70.35509151830192 degree,-520.7992954268882,,-826.6753873649996,,-126.85253553425422,161.63495497077747,-1,-1,-1
641,2006-12-15,87558.0,2.0,2006-12-15 00:00:00,2006-12-15 06:00:00,6.0,,,,2.4293212890625,85.91555486832584,229.5255690159782 degree,,584.3099181139306,-295.21770875832556,,-157.65965589391408,683.0782235560781,1,-1,1
642,2006-12-28,87648.0,2.0,2006-12-28 12:00:00,2006-12-29 18:00:00,30.0,,,,12.1044921875,147.01662235966478,229.80286937210215 degree,-113.92681499754826,841.0011256511307,-89.11603498434397,660.4101167037718,-784.324102811942,,1,1,-1
643,2007-01-13,87757.0,2.0,2007-01-13 12:00:00,2007-01-13 18:00:00,6.0,,,,1.0988616943359375,30.200418306257458,89.53684711256629 degree,-381.7024383965526,,-543.6846706578672,,-421.0019806084806,,-1,-1,-1
644,2007-02-01,87901.0,2.0,2007-02-01 12:00:00,2007-02-02 00:00:00,12.0,,,,21.52972412109375,205.85683342724536,229.88160052323374 degree,,1171.7373424214811,,783.6437567335063,-702.0423546281173,,1,1,-1
645,2007-02-02,87917.0,2.0,2007-02-02 00:00:00,2007-02-02 06:00:00,6.0,,,,13.17254638671875,147.29715278447844,227.9571018218465 degree,-74.33225631075523,878.9304915124007,-212.87997577023725,583.2433627576601,-747.4250994881032,,1,1,-1
646,2007-02-05,87934.0,2.0,2007-02-05 00:00:00,2007-02-05 12:00:00,12.0,,,,2.3538818359375,142.6334307777015,230.2714366854402 degree,,,-170.9443304590859,671.1835339848249,-580.2381534535562,,0,1,-1
647,2007-12-19,90804.0,2.0,2007-12-19 12:00:00,2007-12-21 00:00:00,36.0,,,,24.561279296875,231.57087287636296,240.97600101341592 degree,-399.0808040953343,,-481.9075546871399,,-118.91490311336429,694.7930024828008,-1,-1,1
648,2008-01-04,90924.0,2.0,2008-01-04 06:00:00,2008-01-04 12:00:00,6.0,,,,6.78643798828125,145.39594748514517,229.8169666517232 degree,-277.04565443493595,,-665.5398411192959,,-184.36613259434822,654.1006231685976,-1,-1,1
649,2008-01-04,90929.0,2.0,2008-01-04 18:00:00,2008-01-05 00:00:00,6.0,,,,3.4024658203125,87.9918140500121,237.05742639817885 degree,-277.04565443493595,,-665.5398411192959,,-184.36613259434822,654.1006231685976,-1,-1,1
650,2008-01-27,91041.0,2.0,2008-01-27 00:00:00,2008-01-28 00:00:00,24.0,,,,3.587982177734375,69.21731637719151,218.42040580455702 degree,-702.9429443404341,,-525.6211244160862,,-744.4197916524523,,-1,-1,-1
651,2008-01-22,91041.0,3.0,2008-01-22 12:00:00,2008-01-31 18:00:00,222.0,,,,136.60400390625,642.8552073242741,230.28361069267615 degree,-845.6937898917782,,,,-269.03636132779764,,-1,0,-1
652,2008-01-27,91098.0,2.0,2008-01-27 12:00:00,2008-01-27 18:00:00,6.0,,,,3.587982177734375,69.21731637719151,218.42040580455702 degree,-702.9429443404341,,-525.6211244160862,,-744.4197916524523,,-1,-1,-1
653,2008-02-15,91270.0,2.0,2008-02-15 12:00:00,2008-02-16 06:00:00,18.0,,,,14.117919921875,172.25810471364247,220.25909725273743 degree,-221.85285055193046,,-319.12651221356816,,-526.2664358937681,,-1,-1,-1
654,2008-02-27,91352.0,2.0,2008-02-27 18:00:00,2008-02-28 00:00:00,6.0,,,,13.9266357421875,268.07382013004144,248.85831950893282 degree,,927.1193083807751,,683.2245434814798,-373.3916178559023,,1,1,-1
655,2008-02-28,91352.0,3.0,2008-02-28 00:00:00,2008-02-28 06:00:00,6.0,,,,7.0986328125,194.2035198457816,240.91756208923246 degree,,1041.3071758687668,-144.6084650379112,665.289817636843,-310.3033931864064,219.5572521279156,1,1,-1
656,2008-12-24,94036.0,2.0,2008-12-24 00:00:00,2008-12-24 18:00:00,18.0,,,,7.8309326171875,137.12944017184498,259.5988165945797 degree,,597.2349943460063,-229.92938420479868,674.0593021909091,-120.28822243499084,411.1459424769582,1,1,-1
657,2008-12-22,94036.0,3.0,2008-12-22 12:00:00,2008-12-24 00:00:00,36.0,,,,1.687255859375,181.7327489393738,86.21252976214105 degree,,648.5207218372383,-447.96710106630235,,-89.90462403558939,681.79096427504,1,-1,1
658,2009-02-21,94515.0,2.0,2009-02-21 06:00:00,2009-02-21 18:00:00,12.0,,,,2.6898193359375,57.107725858187656,237.9924072524932 degree,-281.2435904143165,,-358.8654583958284,,-133.43373727393706,513.3826701929331,-1,-1,1
659,2009-02-22,94518.0,2.0,2009-02-22 06:00:00,2009-02-22 18:00:00,12.0,,,,11.65411376953125,214.10022891602668,234.0659195382852 degree,-271.34257083254244,,-283.082427315603,,-166.3444489432578,,-1,-1,-1
660,2009-02-25,94549.0,2.0,2009-02-25 06:00:00,2009-02-25 12:00:00,6.0,,,,,45.34692618348342,239.80041333562122 degree,-292.92316050654847,,-545.5967755199525,,-239.79573559930594,,-1,-1,-1
